href,section_value
https://indianexpress.com/article/entertainment/movie-review/dunki-movie-review-shah-rukh-khan-rajkumar-hirani-film-crashing-bore-vicky-kaushal-9077281/,Entertainment
https://indianexpress.com/article/entertainment/movie-review/neru-movie-review-mohanlal-has-started-his-journey-back-9077471/,Entertainment
https://indianexpress.com/article/entertainment/movie-review/rebel-moon-movie-review-netflix-zack-snyder-worst-film-9078947/,Entertainment
https://indianexpress.com/article/cities/delhi/delhi-news-live-aap-kejriwal-ed-raids-arrest-9094428/,Entertainment
https://indianexpress.com/article/cities/kolkata/tiger-zinda-hai-buxa-reserve-bengal-count-9093718/,Entertainment
https://indianexpress.com/article/trending/trending-in-india/viral-video-shows-women-entering-overcrowded-coach-through-window-9093638/,Entertainment
https://indianexpress.com/article/sports/cricket/india-vs-south-africa-cape-town-test-lessons-23-wicket-day-how-not-to-bat-tests-9094169/,Sports
https://indianexpress.com/article/opinion/columns/sports-maharajas-their-fiefs-9094176/,Sports
https://indianexpress.com/article/sports/cricket/how-mohammed-siraj-and-jasprit-bumrah-reduced-south-africa-to-15-for-4-9093378/,Sports
https://indianexpress.com/article/sports/cricket/carnage-cape-town-india-become-first-team-lose-six-wickets-without-scoring-test-cricket-9094053/,Sports
https://indianexpress.com/article/sports/sport-others/sakshi-malik-objects-to-sanjay-singhs-election-as-wfi-chief-says-mother-getting-threatening-calls-9094001/,Sports
https://indianexpress.com/article/sports/sport-others/wfi-controversy-junior-wrestlers-protest-delhi-vinesh-phogat-bajrang-punia-sakshi-malik-9094206/,Sports
https://indianexpress.com/article/sports/badminton/nozomi-okuharas-nightmare-in-india-wait-at-airport-fleeced-by-cabbie-4-hour-long-wait-time-in-hotel-lobby-9065553/,Sports
https://indianexpress.com/article/sports/cricket/why-is-arshdeep-singh-judged-so-harshly-9062839/,Sports
https://indianexpress.com/article/sports/football/unai-emery-exacted-revenge-on-arsenal-and-took-aston-villa-to-top-3-spot-in-premier-league-9062438/,Sports
https://indianexpress.com/article/sports/badminton/geography-on-its-side-but-guwahatis-badminton-academy-has-uphill-climb-matching-hyderabads-history-9061885/,Sports
https://indianexpress.com/article/sports/cricket/wpl-auction-kashvee-gautam-and-vrinda-dinesh-two-uncapped-indian-cricketers-who-have-become-millionaires-9061524/,Sports
https://indianexpress.com/article/sports/chess/are-men-better-chess-players-than-women-a-resounding-no-whats-holding-the-women-back-then-9060409/,Sports
https://indianexpress.com/article/sports/cricket/can-the-match-fixing-taint-be-ever-erased-sreesanth-wasim-akram-search-for-answers-9060762/,Sports
https://indianexpress.com/article/sports/cricket/arshin-kulkarni-justifies-early-sacrifices-by-inspiring-india-to-victory-over-afghanistan-in-u19-asia-cup-9060457/,Sports
https://indianexpress.com/article/sports/cricket/tests-important-career-mohammed-siraj-india-vs-south-africa-9094158/,Sports
https://indianexpress.com/article/sports/cricket/skills-aside-lack-game-time-problem-harmanpreet-kaur-co-search-odi-answers-9094133/,Sports
